Covidence #,Study ID,Title,Reviewer Name,Include?,Primary study aim,Country in which the study was conducted,Study design,Data source,Database/Randomized controlled trial name (if applicable),Clinical setting of data collection,Start date for collection of patient data (YYYY),End date for collection of patient data (YYYY),Age criteria for inclusion (in years),"How is TBI defined? (e.g., ""ICD9 codes"", ""Not defined"")",Range of TBI severity in patient population,"Factors used to define TBI severity, separated by commas (e.g., ""GCS"", ""GCS, AIS"")",Specific inclusion criteria,Specific exclusion criteria,Number of participants included in prognostication analysis,Average age of participants (in years),"Male/female ratio (""M"" if all male, ""F"" if all female)",Prognostic factors and outcomes analyses,Types of models involved for prognostication analysis,Additional notes on core information,Additional notes
7500,Fuller 2014,The association between admission systolic blood pressure and mortality in significant traumatic brain injury: a multi-centre cohort study.,Steven Qiu,Yes,Analysis of prognostic factors,Other: Europe,Cohort study,Retrospective database/RCT data,TARN,Emergency department; Hospital admission,2005,2012,>16,"AIS (head AIS >=3, excluding scalp, cranial nerve, or vascular injuries)","",AIS head,Head AIS >= 3,"Femoral neck or single pubic ramus fracture in patients >65
Simple Isolated injuries ",5057,48.7,2.46,"SBP (<70mmHg) | Mortality (30 days post-injury, in-hospital) | Y | Regression
SBP (>200mmHg) | Mortality (30 days post-injury, in-hospital) | Y | Regression
Age | Mortality (30 days post-injury, in-hospital) | Y | Regression
ISS | Mortality (30 days post-injury, in-hospital) | Y | Regression
GCS | Mortality (30 days post-injury, in-hospital) | Y | Regression
Marshall score | Mortality (30 days post-injury, in-hospital) | Y | Regression
Hypoxia | Mortality (30 days post-injury, in-hospital) | Y | Regression
SAH | Mortality (30 days post-injury, in-hospital) | Y | Regression","Regression (i.e., logistic, linear)","",""
7497,Lazaridis 2014,Patient-specific thresholds of intracranial pressure in severe traumatic brain injury.,Steven Qiu,Yes,Analysis of prognostic factors,US,Cohort study,Retrospective chart review,"",Hospital admission,2003,2009,15-87,Not defined,Severe,GCS,"","",322,37,3.04,"Age | GOS (6 months post-injury) | N | ANOVA
Gender | GOS (6 months post-injury) | N | ANOVA
GCS | GOS (6 months post-injury) | Y | ANOVA
MAP | GOS (6 months post-injury) | N | ANOVA
ICP | GOS (6 months post-injury) | Y | ANOVA
CPP | GOS (6 months post-injury) | Y | ANOVA
PRx | GOS (6 months post-injury) | Y | ANOVA","Regression (i.e., logistic, linear); ANOVA/Kruskal-Wallis test/Friedman test","","All patients were sedated, intubated, and received mechanical ventilation during the recording period
Average patient age calculated manually but excluded 9 patients for which no data was available "
7473,Seiger 2015,Does mechanism of injury play a role in recovery from concussion?.,Steven Qiu,No (Wrong patient population),"","","","","","","","","","","","","","","","","","","","",""
7472,Kumar 2015,Chronic Inflammation After Severe Traumatic Brain Injury: Characterization and Associations With Outcome at 6 and 12 Months Postinjury.,Steven Qiu,No (Wrong patient population),Analysis of prognostic factors,US,Cohort study,Prospective data collection,"","","","",16-70,"",Severe,GCS,Positive CT findings,"",83,"","","GOS (6 months post-injury)
GOS (12 months post-injury)","","",""
7298,Kesinger 2015,Hospital-acquired pneumonia is an independent predictor of poor global outcome in severe traumatic brain injury up to 5 years after discharge.,Steven Qiu,Yes,Analysis of prognostic factors,US,Cohort study,Retrospective database/RCT data,TBI Model Systems,Hospital admission,2003,2007,>=16,"PTA>24 hrs or LOC>30 minutes or GCS in
ED<13 or intracranial neuroimaging abnormalities (TBIMS definition)",Severe,AIS,"AIS head >=4
Subsequent admission to TBIMS rehabilitation center ",Death in ICU,113,43.8,3.13,"Pneumonia (hospital-acquired) | GOS-E (1 year post-injury) | Y | T-test
Pneumonia (hospital-acquired) | GOS-E (2 years post-injury) | Y | T-test
Pneumonia (hospital-acquired) | GOS-E (5 years post-injury) | Y | T-test
Pneumonia (hospital-acquired) | Mortality (at discharge) | N | Fisher's exact test

Pneumonia (hospital-acquired) | GOS-E (1 year post-injury) | Y | Regression
Pneumonia (hospital-acquired) | GOS-E (2 years post-injury) | Y | Regression
Pneumonia (hospital-acquired) | GOS-E (5 years post-injury) | Y | Regression

Pneumonia (hospital-acquired) | GOS-E (1 year post-injury) | Y | Regression
Gender | GOS-E (1 year post-injury) | N | Regression
Age | GOS-E (1 year post-injury) | Y | Regression
Ethnicity (caucasian) | GOS-E (1 year post-injury) | N | Regression
GCS (admission) | GOS-E (1 year post-injury) | N | Regression
ISS (non-head) | GOS-E (1 year post-injury) | N | Regression
AIS head | GOS-E (1 year post-injury) | N | Regression
ISS (thorax) | GOS-E (1 year post-injury) | N | Regression
Septicemia | GOS-E (1 year post-injury) | N | Regression

Pneumonia (hospital-acquired) | GOS-E (2 years post-injury) | Y | Regression
Gender | GOS-E (2 years post-injury) | N | Regression
Age | GOS-E (2 years post-injury) | N | Regression
Ethnicity (caucasian) | GOS-E (2 years post-injury) | N | Regression
GCS (admission) | GOS-E (2 years post-injury) | N | Regression
ISS (non-head) | GOS-E (2 years post-injury) | Y | Regression
AIS head | GOS-E (2 years post-injury) | Y | Regression
ISS (thorax) | GOS-E (2 years post-injury) | Y | Regression
Septicemia | GOS-E (2 years post-injury) | N | Regression

Pneumonia (hospital-acquired) | GOS-E (5 years post-injury) | Y | Regression
Gender | GOS-E (5 years post-injury) | N | Regression
Age | GOS-E (5 years post-injury) | N | Regression
Ethnicity (caucasian) | GOS-E (5 years post-injury) | N | Regression
GCS (admission) | GOS-E (5 years post-injury) | Y | Regression
ISS (non-head) | GOS-E (5 years post-injury) | N | Regression
AIS head | GOS-E (5 years post-injury) | N | Regression
ISS (thorax) | GOS-E (5 years post-injury) | N | Regression
Septicemia | GOS-E (5 years post-injury) | N | Regression","Regression (i.e., logistic, linear); T-test/Mann-Whitney U-test/Wilcoxon test; Chi-squared/Fisher's exact test","",""
7263,Yousuf 2015,Genetic Variation of ApoE Gene in Ethnic Kashmiri Population and Its Association with Outcome After Traumatic Brain Injury.,Steven Qiu,Yes,Analysis of prognostic factors,Other: India,Cohort study,Prospective data collection,"","","","","",Not defined,Mild; Moderate; Severe,GCS,Kashmiri ethnicity,"",150,40 (estimate),4.56,APOE (e4 allele) | GOS (6 months post-injury) | N | Chi-squared,Chi-squared/Fisher's exact test,"",""
7246,Barker-Collo 2015,"Prevalence, natural course and predictors of depression 1 year following traumatic brain injury from a population-based study in New Zealand.",Steven Qiu,Yes,Analysis of prognostic factors,Other: New Zealand,Cohort study,Prospective data collection,"",Emergency department; Hospital admission,2010,2011,>16,"Clinical and history (Presence of one or more of the following: confusion or disorientation; loss of consciousness; post-traumatic amnesia; and other neurological abnormalities (e.g., focal neurological signs, seizure, intracranial lesion))",Mild; Moderate; Severe,"GCS, PTA (duration)","","",315,35.8,1.14,"Age | Depression (12 months post-injury, HAD scale) | Y | T-test
Gender | Depression (12 months post-injury, HAD scale) | N | Chi-squared
Ethnicity (European) | Depression (12 months post-injury, HAD scale) | N | Chi-squared
Ethnicity (Maori) | Depression (12 months post-injury, HAD scale) | N | Chi-squared
Injury severity | Depression (12 months post-injury, HAD scale) | N | Chi-squared
Mechanism (assault) | Depression (12 months post-injury, HAD scale) | N | Chi-squared
Mechanism (fall) | Depression (12 months post-injury, HAD scale) | N | Chi-squared
Mechanism (traffic) | Depression (12 months post-injury, HAD scale) | N | Chi-squared
ETOH | Depression (12 months post-injury, HAD scale) | N | Chi-squared
Drugs | Depression (12 months post-injury, HAD scale) | N | Chi-squared
Self-inflicted | Depression (12 months post-injury, HAD scale) | N | Chi-squared
Comorbidity (depression) | Depression (12 months post-injury, HAD scale) | Y | Chi-squared
Comorbidity (anxiety) | Depression (12 months post-injury, HAD scale) | Y | Chi-squared

Age | Depression (12 months post-injury, DSM-IV) | N | T-test
Gender | Depression (12 months post-injury, DSM-IV) | Y | Chi-squared
Ethnicity (European) | Depression (12 months post-injury, DSM-IV) | N | Chi-squared
Ethnicity (Maori) | Depression (12 months post-injury, DSM-IV) | N | Chi-squared
Injury severity | Depression (12 months post-injury, DSM-IV) | N | Chi-squared
Mechanism (assault) | Depression (12 months post-injury, DSM-IV) | N | Chi-squared
Mechanism (fall) | Depression (12 months post-injury, DSM-IV) | N | Chi-squared
Mechanism (traffic) | Depression (12 months post-injury, DSM-IV) | N | Chi-squared
ETOH | Depression (12 months post-injury, DSM-IV) | N | Chi-squared
Drugs | Depression (12 months post-injury, DSM-IV) | N | Chi-squared
Self-inflicted | Depression (12 months post-injury, DSM-IV) | N | Chi-squared
Comorbidity (depression) | Depression (12 months post-injury, DSM-IV) | Y | Chi-squared
Comorbidity (anxiety) | Depression (12 months post-injury, DSM-IV) | Y | Chi-squared


Age | Depression (12 months post-injury, HAD scale) | Y | Regression
Comorbidity (depression) | Depression (12 months post-injury, HAD scale) | Y | Regression
Comorbidity (anxiety) | Depression (12 months post-injury, HAD scale) | Y | Regression","Regression (i.e., logistic, linear); T-test/Mann-Whitney U-test/Wilcoxon test; Chi-squared/Fisher's exact test","",""
7224,Sandhaug 2015,Community integration 2 years after moderate and severe traumatic brain injury.,Steven Qiu,Yes,Analysis of prognostic factors,Other: Norway,Cohort study,Prospective data collection,"",Clinic; Hospital admission,2005,2008,>16,"Clinical and history (American Congress of Rehabilitation Medicine for mild TBI, GCS of 9-12 and LOC of 30min-6hrs for moderate, GCS <=8 and LOC >6hrs for severe; positive CT findings increased severity rating category) ",Moderate; Severe,"GCS, LOC (duration)","","Vegetative state
Serious comorbidities that would have interfered with the assessment of TBI-related impairments (e.g., spinal cord injuries, psychological disorders, or drug abuse) ",57,41,3,"Gender | Social outcome (2 years post-injury, CIQ score) | N | Regression
Age | Social outcome (2 years post-injury, CIQ score) | N | Regression
Injury severity (moderate vs severe) | Social outcome (2 years post-injury, CIQ score) | N | Regression
GCS (admission) | Social outcome (2 years post-injury, CIQ score) | Y | Regression
PTA (duration) | Social outcome (2 years post-injury, CIQ score) | Y | Regression
DRS (admission) | Social outcome (2 years post-injury, CIQ score) | N | Regression
FIM (admission) | Social outcome (2 years post-injury, CIQ score) | N | Regression

Injury severity (moderate vs severe) | Social outcome (2 years post-injury, CIQ score) | N | Spearman
Injury severity (moderate vs severe) | Social outcome (2 years post-injury, CIQ home integration) | N | Spearman
Injury severity (moderate vs severe) | Social outcome (2 years post-injury, CIQ social integration) | N | Spearman
Injury severity (moderate vs severe) | Social outcome (2 years post-injury, CIQ productivity) | Y | Spearman","Regression (i.e., logistic, linear); Correlation (i.e., Pearson, Spearman, Kendall)","",""
6955,Korley 2016,Circulating Brain-Derived Neurotrophic Factor Has Diagnostic and Prognostic Value in Traumatic Brain Injury.,Steven Qiu,Yes,Analysis of prognostic factors,US,Cohort study,Prospective data collection,"",Emergency department,2012,2013,>=18,Definition from Demographics and Clinical Assessment Working Group of the International and Interagency Initiative toward Common Data Elements for Research on Traumatic Brain Injury and Psychological Health,Mild; Moderate; Severe,"GCS, LOC, AOC, PTA, imaging findings (Department of Defense/Department of Veterans Affairs TBI severity definition)","Met ACEP criteria for head CT
Had excess serum sample available in clinical chemistry lab","Penetrating TBI
History of demyelinating disease, neurodegenerative disease, dementia, stroke, brain tumor, intracranial surgery, active cancer",111,"43 (median, estimate)",2.24,"BDNF (at admission) | GOS-E (6 months post-injury) | N | U-test
BDNF (at admission) | PCS (6 months post-injury) | N | U-test
BDNF (at admission) | Incomplete recovery (6 months post-injury) | Y | Regression","Regression (i.e., logistic, linear); T-test/Mann-Whitney U-test/Wilcoxon test","",Only a subset of the TRACK-TBI pilot subjects were analyzed for outcomes since not all patients had available data
6887,McCredie 2016,Timing of withdrawal of life-sustaining therapies in severe traumatic brain injury: Impact on overall mortality.,Steven Qiu,Yes,Other: ,"Other: US, Canada",Cohort study,Retrospective database/RCT data,TQIP,Emergency department; Hospital admission,2010,2013,>=16,"AIS codes (Epidural hematoma 140630, 140632, 140634, 140636; Subdural hematoma 140650, 140652, 140654, 140656; Traumatic subarachnoid hemorrhage 140684; Intracerebral mass lesion	140608, 140610, 140616, 140618, 140624, 140626, 140648; Compressed/absent basal cisterns 140664, 140666, 140672, 140674; Brainstem/cerebellar lesion 140204, 140206, 140208, 140210, 140212, 140214, 140216, 140218, 140299, 140402, 140403, 140404, 140405, 140406, 140410, 140414, 140418, 140422, 140426, 140430, 140434, 140438, 140442, 140446, 140450, 140458, 140462, 140466, 140470, 140474, 140499)",Severe,"GCS, AIS","Isolated TBI
AIS head >=3","Penetrating TBI
Non-head AIS >2
Nonsurvivable injuries",17505,"53 (median, estimate)",2.37,"Gender | Mortality (in-hospital) | N | Regression
Age | Mortality (in-hospital) | Y | Regression
Comorbidity (Chronic respiratory disease) | Mortality (in-hospital) | Y | Regression
Comorbidity (CVA with residual deficit) | Mortality (in-hospital) | N | Regression
Comorbidity (CAD) | Mortality (in-hospital) | Y | Regression
Comorbidity (Hypertension) | Mortality (in-hospital) | Y | Regression
Comorbidity (Diabetes) | Mortality (in-hospital) | Y | Regression
Comorbidity (Renal disease on dialysis) | Mortality (in-hospital) | Y | Regression
Comorbidity (Cancer) | Mortality (in-hospital) | Y | Regression
Comorbidity (Bleeding disorder) | Mortality (in-hospital) | Y | Regression
Comorbidity (Functionally dependent) | Mortality (in-hospital) | N | Regression
EDH | Mortality (in-hospital) | Y | Regression
SDH | Mortality (in-hospital) | N | Regression
SAH | Mortality (in-hospital) | Y | Regression
Intracerebral mass lesion | Mortality (in-hospital) | Y | Regression
Abnormal basal cistern | Mortality (in-hospital) | Y | Regression
Brainstem/cerebellar lesions | Mortality (in-hospital) | Y | Regression
AIS head | Mortality (in-hospital) | Y | Regression
GCS (motor) | Mortality (in-hospital) | Y | Regression
SBP | Mortality (in-hospital) | Y | Regression
Mechanism | Mortality (in-hospital) | Y | Regression","Regression (i.e., logistic, linear)",Regression is multi-level,""
6875,Sun 2016,External Validation of the International Mission for Prognosis and Analysis of Clinical Trials in Traumatic Brain Injury: Prognostic Models for Traumatic Brain Injury on the Study of the Neuroprotective Activity of Progesterone in Severe Traumatic Brain I,Steven Qiu,Yes,Other: Validation of IMPACT models,"Other: North America, Europe, Asia, South America",Cohort study,Retrospective database/RCT data,SyNAPSe trial,Hospital admission,2010,2014,16-70,"History, clinical examination, CT findings",Severe,GCS,"Positive CT findings
At least one reactive pupil
Weight of 45-135kg","Penetrating TBI
GCS = 3 with bilaterally fixed and dilated pupils
Life expectancy <24hrs
Prolonged/uncorrectable hypoxemia
Hypotension (SBP <90mmHg)
Spinal cord injury 
Pregnancy 
Only isolated epidural hematoma
Coma due primarily to other causes",1124,"35 (median, estimate)",3.68,"Age | GOS (6 months post-injury) | Y | Chi-squared
GCS (motor) | GOS (6 months post-injury) | Y | Chi-squared
Pupil reactivity | GOS (6 months post-injury) | Y | Chi-squared
Hypoxia | GOS (6 months post-injury) | Y | Chi-squared
Hypotension | GOS (6 months post-injury) | N | Chi-squared
Marshall score | GOS (6 months post-injury) | Y | Chi-squared
SAH | GOS (6 months post-injury) | Y | Chi-squared
EDH | GOS (6 months post-injury) | N | Chi-squared
Glucose | GOS (6 months post-injury) | Y | Chi-squared
Hemoglobin | GOS (6 months post-injury) | Y | Chi-squared

Age | GOS (6 months post-injury) | Y | Regression
GCS (motor) | GOS (6 months post-injury) | Y | Regression
Pupil reactivity | GOS (6 months post-injury) | Y | Regression
Hypoxia | GOS (6 months post-injury) | N | Regression
Hypotension | GOS (6 months post-injury) | N | Regression
Marshall score | GOS (6 months post-injury) | Y | Regression
SAH | GOS (6 months post-injury) | N | Regression
EDH | GOS (6 months post-injury) | N | Regression
Glucose | GOS (6 months post-injury) | Y | Regression
Hemoglobin | GOS (6 months post-injury) | N | Regression","Regression (i.e., logistic, linear)","Univariate and multivariable odds ratios in Table 3 are presumed to be from logistic regression since cited paper for methods also uses logistic regression
Univariate analysis is coded as Chi-squared since they are equivalent",""
6873,Pan 2016,Change of serum levels of thioredoxin in patients with severe traumatic brain injury.,Steven Qiu,Yes,Analysis of prognostic factors,Other: China,Cohort study,Prospective data collection,"",Hospital admission,2011,2014,>=18,Not defined,Severe,GCS,"","Pregnancy, neurological disease (e.g., stroke), infectious diseases, immunological diseases, fever within 1 month, increased WBC, positive CXR
History of head trauma or systemic diseases (e.g., diabetes, hypertension, uremia, liver cirrhosis, malignancy, chronic heart/lung disease)
Immunosuppressant use 
Antiplatelet or anticoagulant use",112,39.27,1.8,"Gender | Mortality (1 week post-injury) | N | Chi-squared
Age | Mortality (1 week post-injury) | N | T-test
GCS | Mortality (1 week post-injury) | Y | T-test
Pupil reactivity | Mortality (1 week post-injury) | Y | Chi-squared
Marshall score | Mortality (1 week post-injury) | Y | Chi-squared
Abnormal cisterns | Mortality (1 week post-injury) | Y | Chi-squared
Midline shift (>5 mm) | Mortality (1 week post-injury) | Y | Chi-squared
SAH | Mortality (1 week post-injury) | Y | Chi-squared
Surgery (24hrs post-injury) | Mortality (1 week post-injury) | N | Chi-squared
SBP | Mortality (1 week post-injury) | N | T-test
DBP | Mortality (1 week post-injury) | N | T-test
MAP | Mortality (1 week post-injury) | N | T-test
Glucose (blood) | Mortality (1 week post-injury) | Y | T-test
CRP (plasma) | Mortality (1 week post-injury) | Y | T-test
WBC (blood) | Mortality (1 week post-injury) | N | T-test
Hemoglobin (blood) | Mortality (1 week post-injury) | N | T-test
Platelet count (blood) | Mortality (1 week post-injury) | N | T-test
Thioredoxin (blood) | Mortality (1 week post-injury) | Y | T-test

Gender | Mortality (6 months post-injury) | N | Chi-squared
Age | Mortality (6 months post-injury) | N | T-test
GCS | Mortality (6 months post-injury) | Y | T-test
Pupil reactivity | Mortality (6 months post-injury) | Y | Chi-squared
Marshall score | Mortality (6 months post-injury) | Y | Chi-squared
Abnormal cisterns | Mortality (6 months post-injury) | Y | Chi-squared
Midline shift (>5 mm) | Mortality (6 months post-injury) | Y | Chi-squared
SAH | Mortality (6 months post-injury) | Y | Chi-squared
Surgery (24hrs post-injury) | Mortality (6 months post-injury) | N | Chi-squared
SBP | Mortality (6 months post-injury) | N | T-test
DBP | Mortality (6 months post-injury) | N | T-test
MAP | Mortality (6 months post-injury) | N | T-test
Glucose (blood) | Mortality (6 months post-injury) | Y | T-test
CRP (plasma) | Mortality (6 months post-injury) | Y | T-test
WBC (blood) | Mortality (6 months post-injury) | N | T-test
Hemoglobin (blood) | Mortality (6 months post-injury) | N | T-test
Platelet count (blood) | Mortality (6 months post-injury) | N | T-test
Thioredoxin (blood) | Mortality (6 months post-injury) | Y | T-test

Gender | GOS (6 months post-injury) | N | Chi-squared
Age | GOS (6 months post-injury) | N | T-test
GCS | GOS (6 months post-injury) | Y | T-test
Pupil reactivity | GOS (6 months post-injury) | Y | Chi-squared
Marshall score | GOS (6 months post-injury) | Y | Chi-squared
Abnormal cisterns | GOS (6 months post-injury) | Y | Chi-squared
Midline shift (>5 mm) | GOS (6 months post-injury) | Y | Chi-squared
SAH | GOS (6 months post-injury) | Y | Chi-squared
Surgery (24hrs post-injury) | GOS (6 months post-injury) | N | Chi-squared
SBP | GOS (6 months post-injury) | N | T-test
DBP | GOS (6 months post-injury) | N | T-test
MAP | GOS (6 months post-injury) | N | T-test
Glucose (blood) | GOS (6 months post-injury) | Y | T-test
CRP (plasma) | GOS (6 months post-injury) | Y | T-test
WBC (blood) | GOS (6 months post-injury) | N | T-test
Hemoglobin (blood) | GOS (6 months post-injury) | N | T-test
Platelet count (blood) | GOS (6 months post-injury) | N | T-test
Thioredoxin (blood) | GOS (6 months post-injury) | Y | T-test","Regression (i.e., logistic, linear); T-test/Mann-Whitney U-test/Wilcoxon test; Chi-squared/Fisher's exact test; Binary classifier with ROC","",""
6872,Frasnelli 2016,Olfactory function in acute traumatic brain injury.,Steven Qiu,Yes,Other: Olfactory dysfunction in TBI,Canada,Cohort study,Prospective data collection,"",Emergency department; Hospital admission,2013,2013,17-84,"Clinical and history (either a. radiological imaging showed intracranial or cranial injury or b. at least two of the following: 1. loss of consciousness, 2. altered state of consciousness i.e., reduced GCS, 3. amnesia for the event)",Mild; Moderate; Severe,GCS,"","",63,52.8,1.7,"GCS | Olfactory dysfunction (12 days post-injury) | N | ANOVA
GCS | Parosmia score (12 days post-injury) | N | Spearman
PTA (duration) | Olfactory dysfunction (12 days post-injury) | Y | Spearman
PTA (duration) | Parosmia score (12 days post-injury) | N | Spearman
Age | Olfactory dysfunction (12 days post-injury) | Y | Spearman
Mechanism | Olfactory dysfunction (12 days post-injury) | N | ANOVA
Mechanism | Parosmia score (12 days post-injury) | Y | ANOVA","ANOVA/Kruskal-Wallis test/Friedman test; Correlation (i.e., Pearson, Spearman, Kendall)","",""
6868,Lustenberger 2016,The effect of brain injury on the inflammatory response following severe trauma.,Steven Qiu,Yes,Other: Analysis of inflammatory biomarker course following major trauma,Other: Germany,Cohort study,Retrospective chart review,"",Emergency department; Hospital admission,2007,2008,18-80,AIS (Head AIS),Severe,AIS head,"AIS head >=3
Blunt or penetrating trauma
ISS >=16",Death in the ED or OR,62,50.25,1.7,"IL-6 (admission) | Sepsis | Y | U-test
IL-6 (1 day post-injury) | Sepsis | Y | U-test
IL-6 (2 days post-injury) | Sepsis | Y | U-test
IL-6 (3 days post-injury) | Sepsis | Y | U-test
IL-6 (admission) | Sepsis | Y | ROC AUC

IL-6 (admission) | Multiple organ failure | Y | U-test
IL-6 (1 day post-injury) | Multiple organ failure | Y | U-test
IL-6 (2 days post-injury) | Multiple organ failure | N | U-test
IL-6 (3 days post-injury) | Multiple organ failure | N | U-test
IL-6 (admission) | Multiple organ failure | Y | ROC AUC

IL-6 (admission) | GOS | Y | ANOVA
IL-6 (admission) | GOS | Y | ROC AUC",ANOVA/Kruskal-Wallis test/Friedman test; T-test/Mann-Whitney U-test/Wilcoxon test; Binary classifier with ROC,"",""
6865,Talari 2016,The Rotterdam Scoring System Can Be Used as an Independent Factor for Predicting Traumatic Brain Injury Outcomes.,Steven Qiu,Yes,Analysis of prognostic factors,Other: Iran,Cohort study,Prospective data collection,"",Emergency department; Hospital admission,2014,2014,>15,Not defined,Mild; Moderate; Severe,GCS,Positive CT findings or GCS <14 (implies that all mTBI patients had positive CT findings),"Accompanying non-TBI brain lesions (e.g., brain tumor, hydrocephalus)
Death during study period that was not due to TBI",162,34.2,4.35,"Gender | Mortality (14 days post-injury) | N | Fisher's exact test
Age | Mortality (14 days post-injury) | Y | Fisher's exact test
GCS | Mortality (14 days post-injury) | Y | Fisher's exact test
Mechanism | Mortality (14 days post-injury) | N | Fisher's exact test
Other organ injury | Mortality (14 days post-injury) | N | Fisher's exact test

Gender | Mortality (14 days post-injury) | Y | Regression
Age | Mortality (14 days post-injury) | Y | Regression
GCS | Mortality (14 days post-injury) | Y | Regression
Rotterdam score | Mortality (14 days post-injury) | Y | Regression
Other organ injury | Mortality (14 days post-injury) | N | Regression","Regression (i.e., logistic, linear); Chi-squared/Fisher's exact test; Binary classifier with ROC","Study only mentioned ""univariate analysis"" for factors in Table 1, hence assumed Fisher's exact test for these factors due to the categorical coding ",""
6864,Salehpour 2016,Can Serum Glucose Level in Early Admission Predict Outcome in Patients with Severe Head Trauma?.,Steven Qiu,Yes,Analysis of prognostic factors,Other: Iran,Cohort study,Prospective data collection,"",Emergency department; Hospital admission,2011,2012,18-76,Not defined,Severe,GCS,"","Trauma to thoracic/abdominal regions
Hospital stay <24hrs
History of diabetes",80,31.71,7.33,"Gender | Mortality (at discharge) | N | Chi-squared
Age | Mortality (at discharge) | N | T-test
Glucose (serum) | Mortality (at discharge) | N | T-test
GCS (admission) | Mortality (at discharge) | Y | T-test
GCS (24 hours post-injury) | Mortality (at discharge) | N | T-test
GCS (48 hours post-injury) | Mortality (at discharge) | Y | T-test
GCS (1 week post-injury) | Mortality (at discharge) | Y | T-test

Glucose (serum) | GCS (24 hours post-injury) | N | Pearson
Glucose (serum) | GCS (48 hours post-injury) | N | Pearson
Glucose (serum) | GCS (1 week post-injury) | N | Pearson
Glucose (serum) | GCS (at discharge) | N | Pearson
Glucose (serum) | GOS (at discharge) | N | Pearson","T-test/Mann-Whitney U-test/Wilcoxon test; Chi-squared/Fisher's exact test; Correlation (i.e., Pearson, Spearman, Kendall)","",""
6863,Kumar 2016,Principal components derived from CSF inflammatory profiles predict outcome in survivors after severe traumatic brain injury.,Steven Qiu,Yes,Analysis of prognostic factors,US,Cohort study,Prospective data collection,"",Hospital admission,2008,"",16-75,"GCS, CT findings",Severe,GCS,"Closed head TBI
Positive CT findings
Required EVD for ICP monitoring and management","Penetrating TBI
Prolonged cardiac or respiratory arrest at injury 
Evidence of brain death within 3 days of injury
AIS = 5 in any region other than head/neck
History of pituitary/hypothalamic tumor, breast cancer requiring chemotherapy/tamoxifen, prostate cancer requiring orchiectomy/LH suppressants, or untreated thyroid disease",111,35.88,4.84,"Age | GOS (6 months post-injury) | Y | U-test
Gender | GOS (6 months post-injury) | N | Fisher's exact test
GCS (admission) | GOS (6 months post-injury) | N | U-test
ISS | GOS (6 months post-injury) | N | U-test
BMI | GOS (6 months post-injury) | N | U-test
SDH | GOS (6 months post-injury) | N | Fisher's exact test
SAH | GOS (6 months post-injury) | N | Fisher's exact test
DAI | GOS (6 months post-injury) | Y | Fisher's exact test
EDH | GOS (6 months post-injury) | N | Fisher's exact test
Contusion | GOS (6 months post-injury) | N | Fisher's exact test
IVH | GOS (6 months post-injury) | N | Fisher's exact test
ICH | GOS (6 months post-injury) | N | Fisher's exact test
Mechanism | GOS (6 months post-injury) | N | Fisher's exact test
ICU (duration) | GOS (6 months post-injury) | Y | U-test
Sepsis | GOS (6 months post-injury) | N | Fisher's exact test
Pneumonia | GOS (6 months post-injury) | N | Fisher's exact test

Age | GOS (12 months post-injury) | Y | U-test
Gender | GOS (12 months post-injury) | N | Fisher's exact test
GCS (admission) | GOS (12 months post-injury) | N | U-test
ISS | GOS (12 months post-injury) | N | U-test
BMI | GOS (12 months post-injury) | N | U-test
SDH | GOS (12 months post-injury) | N | Fisher's exact test
SAH | GOS (12 months post-injury) | N | Fisher's exact test
DAI | GOS (12 months post-injury) | Y | Fisher's exact test
EDH | GOS (12 months post-injury) | N | Fisher's exact test
Contusion | GOS (12 months post-injury) | N | Fisher's exact test
IVH | GOS (12 months post-injury) | N | Fisher's exact test
ICH | GOS (12 months post-injury) | N | Fisher's exact test
Mechanism | GOS (12 months post-injury) | N | Fisher's exact test
ICU (duration) | GOS (12 months post-injury) | Y | U-test
Sepsis | GOS (12 months post-injury) | N | Fisher's exact test
Pneumonia | GOS (12 months post-injury) | N | Fisher's exact test

Age | GOS (6 months post-injury) | Y | Regression
GCS | GOS (6 months post-injury) | Y | Regression
DAI | GOS (6 months post-injury) | N | Regression
ICU (duration) | GOS (6 months post-injury) | N | Regression

Age | GOS (12 months post-injury) | Y | Regression
GCS | GOS (12 months post-injury) | Y | Regression
DAI | GOS (12 months post-injury) | N | Regression
ICU (duration) | GOS (12 months post-injury) | Y | Regression","Regression (i.e., logistic, linear); T-test/Mann-Whitney U-test/Wilcoxon test; Chi-squared/Fisher's exact test","",2008 set as start date since they mentioned that TBI care was according to 2007 Brain Trauma guidelines
6838,Yang 2016,"Elevated serum miR-93, miR-191, and miR-499 are noninvasive biomarkers for the presence and progression of traumatic brain injury.",Steven Qiu,Yes,Other: Analysis of miRNAs for TBI diagnosis and progression,Other: China,Cohort study,Prospective data collection,"",Emergency department; Hospital admission,2012,2014,"",Not defined,Mild; Moderate; Severe,GCS,Isolated TBI,"History of CNS disease, alcohol/drug abuse",76,48.5,3.47,"miRNA (serum, miR-93) | GOS (9 months post-injury) | Y | ANOVA
miRNA (serum, miR-191) | GOS (9 months post-injury) | Y | ANOVA
miRNA (serum, miR-499) | GOS (9 months post-injury) | Y | ANOVA",ANOVA/Kruskal-Wallis test/Friedman test,"",Mean and SD don't make it seem likely that there are any pediatric cases
